taxa	phadebas
Karri	0.286333333
KHARDZHAU	0.117
KIRGIZ	0.118
KOMBAJNER	0.28
KRYMSKII17	0.283
KYLE	0.171333333
KYOJO_ROKKAKU780	0.121666667
L93	0.128666667
LAPINOHRA	0.107
LARA	0.200666667
LIMA_MONTEIRO	0.296333333
LUTSKII	0.170666667
MAGNIF132	0.177
MAHIGAN	0.153
MAKSIMIRSKI452	0.258666667
MANON|PI234322	0.311
MANSHOLTS_TWEERIJIGE	0.171666667
MAROCCAINE0187	0.105666667
MCU3485	0.231
MCU3523	0.187
MCU3538	0.484333333
MCU3559	0.123
MCU3674	0.147333333
MCU3886	0.243666667
MEDICUM8955	0.117666667
MENUET|PI467789	0.113666667
MILENINUM	0.307
MINERVA|CIHO11477	0.706
MOIRIS	0.367
MOR12/5	0.184333333
MOR14/2	0.118333333
MOR16/2	0.110666667
MOTAN	0.111333333
MUTANS_SANDOMIERSKI	0.213333333
N40	0.205666667
N50	0.243
ND15443	0.230666667
ND16680	0.505666667
ND24393	0.12
ND4856	0.241333333
ND7159	0.203666667
ND8763	0.515
NDB136	1.024666667
NIGRICANS	0.188666667
NOIRE_MAROC	0.230333333
NUDIDEFICIENS	0.348666667
OBSKOI	0.170666667
ODE	0.154666667
ODESSNIJ17	0.122666667
ORGE4A	0.136666667
OTTERBACHER	0.449666667
PAPHITICO|PI226614	0.235333333
PATRIOT	0.098333333
PERFEKTA|PI467808	0.240333333
PI117347	0.139
PI184103	0.404
PI220659	0.183
PI268255	0.326666667
PI270618	0.21
PI270623	0.411
PI270683	0.122
PI344903	0.462333333
PI344944	0.191
PI422230	0.113
PI422233	0.347333333
PI423621	0.212666667
PI429312	0.369333333
PI436154	0.108333333
PI601065	0.499333333
PI94801	0.334666667
PI94806	0.2
PI94919	0.186
PI95189	0.233
PI95212	0.163333333
PROSKOVCUV_HANACKY|PI321823	0.125333333
PUEBLA|PI467740	0.280666667
PUKAKO	0.211
PULAWSKI267	0.096666667
QB136.34	0.127
QB138.28	0.110666667
QB139.17	0.139
QB704.3	0.106333333
Regent	0.098666667
REIDS_TRIUMPH	0.459
RESEARCH|PI146663	0.124666667
RNB-373	0.19
ROJEN	0.114333333
RUSSISCHE_GLATTE	0.127
S-42	0.296
SAGGIA|PI42889	0.110333333
SAN_BENITO80	0.442333333
SARLIS	0.098666667
SN-11	0.132666667
SN-84A	0.257333333
STB131	0.22
STB32	0.155
STB50	0.303
STB76	0.215666667
STEPHAN	0.323666667
SURPRISE-II-750-3B-1B-1-7T	0.647666667
TIMARI	0.322666667
TONG_BEI_PI1HAO	0.531666667
TRIUMF	0.421
TX01D148	0.340333333
TX01D155	0.211333333
TX01D164	0.503666667
TX01D198	0.115333333
TX01D230	1.297
TX01D292	0.493333333
TX01D312	0.432
TX01D353	0.147
TX02D271	0.233666667
TX02D285	0.448666667
TX99D302	0.119333333
TX99D684	0.303
Varunda	0.275
VIKING	0.218333333
WELGEVALLEN60-1-19	0.103666667
WELGEVALLEN60-3-88A	0.197333333
WELGEVALLEN62-13-173	0.330333333
WELGEVALLEN62-2-14-1	0.275666667
WELGEVALLEN65-36-5	0.173
WELGEVALLEN65-52-2	0.232333333
WELGEVALLEN65-56-21	0.129
WIR11309	0.757333333
WIR25662	0.47
ZOND	0.217
